Record ID,Date-time 1,Date-time 2,Season,Station ID,Class,SpeciesID,Temperature,Number of individuals,Water use,Behavior
34,12/02/2020 10:21,12/02/2020 16:23,Dry,1,Aves,Hylocichla mustelina,27,1,Yes,Drinking
35,13/02/2020 09:06,13/02/2020 15:11,Dry,1,Aves,Hylocichla mustelina,23,1,Yes,Drinking
36,14/02/2020 13:22,14/02/2020 15:40,Dry,1,Aves,Hylocichla mustelina,31,1,Yes,Drinking
37,15/02/2020 08:38,15/02/2020 16:44,Dry,1,Aves,Hylocichla mustelina,22,1,Yes,Drinking
38,16/02/2020 12:28,16/02/2020 16:27,Dry,1,Aves,Hylocichla mustelina,28,1,Yes,Drinking
39,17/02/2020 11:57,17/02/2020 15:48,Dry,1,Aves,Hylocichla mustelina,28,1,Yes,Drinking
40,18/02/2020 09:16,18/02/2020 15:13,Dry,1,Aves,Hylocichla mustelina,25,1,Yes,Drinking
41,20/02/2020 13:55,NA,Dry,1,Aves,Hylocichla mustelina,32,1,Yes,Drinking
42,03/03/2020 13:21,03/03/2020 14:11,Dry,1,Aves,Hylocichla mustelina,36,1,Yes,Drinking
43,23/04/2019 09:03,NA,Dry,1,Mammalia,Nasua narica,26,1,No,Foraging
44,18/05/2019 14:13,18/05/2019 16:42,Rainy,1,Mammalia,Nasua narica,41,1,Yes,Drinking
45,19/05/2019 13:02,19/05/2019 16:31,Rainy,1,Mammalia,Nasua narica,40,1,Yes,Drinking
46,20/05/2019 13:59,NA,Rainy,1,Mammalia,Nasua narica,41,1,Yes,Drinking
47,21/05/2019 13:15,21/05/2019 13:17,Rainy,1,Mammalia,Nasua narica,40,1,Yes,Drinking
48,22/05/2019 11:36,22/05/2019 17:24,Rainy,1,Mammalia,Nasua narica,36,1,Yes,Drinking
49,24/05/2019 09:53,24/05/2019 09:56,Rainy,1,Mammalia,Nasua narica,30,1,No,Foraging
50,25/05/2019 13:40,25/05/2019 14:28,Rainy,1,Mammalia,Nasua narica,38,1,No,Foraging
51,07/09/2019 07:42,07/09/2019 07:43,Rainy,1,Mammalia,Nasua narica,20,1,Yes,Drinking
52,19/10/2019 10:35,19/10/2019 10:35,Rainy,1,Mammalia,Nasua narica,27,1,Yes,Drinking
53,25/10/2019 10:11,NA,Rainy,1,Mammalia,Nasua narica,26,1,No,Passing
54,25/11/2019 13:52,NA,Dry,1,Mammalia,Nasua narica,27,1,Yes,Drinking
55,19/12/2019 09:07,NA,Dry,1,Mammalia,Nasua narica,16,1,No,Passing
56,21/10/2019 12:58,NA,Rainy,1,Aves,Piranga rubra,32,1,No,Foraging
57,26/10/2019 10:17,NA,Rainy,1,Aves,Piranga rubra,27,1,No,Foraging
58,05/04/2019 10:28,NA,Dry,1,Aves,Pteroglossus torquatus,33,1,No,Foraging
59,26/06/2019 09:04,26/06/2019 09:05,Rainy,1,Aves,Pteroglossus torquatus,31,2,No,Foraging
60,25/08/2019 12:24,25/08/2019 17:33,Rainy,1,Aves,Pteroglossus torquatus,37,2,Yes,Bathing/Drinking
61,26/08/2019 10:06,26/08/2019 17:02,Rainy,1,Aves,Pteroglossus torquatus,30,1,Yes,Bathing/Drinking
62,27/08/2019 09:31,27/08/2019 17:49,Rainy,1,Aves,Pteroglossus torquatus,28,1,Yes,Bathing
63,28/08/2019 11:16,28/08/2019 17:26,Rainy,1,Aves,Pteroglossus torquatus,33,1,Yes,Drinking
64,29/08/2019 12:43,29/08/2019 16:33,Rainy,1,Aves,Pteroglossus torquatus,37,1,No,Foraging
65,12/03/2019 09:03,12/03/2019 09:11,Dry,1,Mammalia,Sciurus deppei,23,1,No,Passing
66,25/03/2019 10:06,NA,Dry,1,Mammalia,Sciurus deppei,25,1,No,Foraging
67,10/04/2019 11:20,NA,Dry,1,Mammalia,Sciurus deppei,27,1,No,Foraging
68,12/04/2019 15:40,12/04/2019 15:40,Dry,1,Mammalia,Sciurus deppei,42,1,No,Foraging
69,19/04/2019 11:24,NA,Dry,1,Mammalia,Sciurus deppei,32,1,No,Passing
70,26/05/2019 09:32,26/05/2019 09:33,Rainy,1,Mammalia,Sciurus deppei,28,1,No,Foraging
71,31/05/2019 08:41,NA,Rainy,1,Mammalia,Sciurus deppei,26,1,No,Foraging
72,05/06/2019 06:37,NA,Rainy,1,Mammalia,Sciurus deppei,25,1,No,Passing
73,26/06/2019 08:38,NA,Rainy,1,Mammalia,Sciurus deppei,28,1,No,Foraging
74,19/08/2019 19:13,NA,Rainy,1,Mammalia,Sciurus deppei,32,1,No,Passing
75,22/08/2019 15:19,NA,Rainy,1,Mammalia,Sciurus deppei,37,1,No,Foraging
76,23/08/2019 18:53,23/08/2019 18:55,Rainy,1,Mammalia,Sciurus deppei,37,1,No,Foraging
77,24/08/2019 16:11,24/08/2019 16:45,Rainy,1,Mammalia,Sciurus deppei,41,1,No,Foraging
78,26/08/2019 11:17,26/08/2019 16:31,Rainy,1,Mammalia,Sciurus deppei,35,1,No,Foraging
79,28/08/2019 16:48,28/08/2019 18:15,Rainy,1,Mammalia,Sciurus deppei,41,1,No,Foraging
80,07/11/2019 13:12,NA,Dry,1,Mammalia,Sciurus deppei,27,1,No,Foraging
81,12/11/2019 15:29,12/11/2019 15:29,Dry,1,Mammalia,Sciurus deppei,27,1,No,Foraging
82,20/11/2019 16:13,NA,Dry,1,Mammalia,Sciurus deppei,25,1,No,Passing
83,07/12/2019 15:56,NA,Dry,1,Mammalia,Sciurus deppei,27,1,No,Passing
84,15/01/2020 13:37,NA,Dry,1,Mammalia,Sciurus deppei,27,1,No,Passing
85,20/01/2020 10:40,NA,Dry,1,Mammalia,Sciurus deppei,22,1,No,Foraging
86,22/01/2020 12:09,22/01/2020 12:09,Dry,1,Mammalia,Sciurus deppei,21,1,Yes,Drinking
87,21/02/2020 17:07,NA,Dry,1,Mammalia,Sciurus deppei,27,1,No,Foraging
88,25/06/2019 10:14,NA,Rainy,1,Mammalia,Urocyon cinereoargenteus,33,1,Yes,Drinking
89,27/08/2019 05:35,27/08/2019 05:36,Rainy,1,Mammalia,Urocyon cinereoargenteus,26,1,Yes,Drinking
90,28/08/2019 00:42,NA,Rainy,1,Mammalia,Urocyon cinereoargenteus,27,1,No,Passing
91,28/08/2019 09:34,28/08/2019 09:59,Rainy,1,Mammalia,Urocyon cinereoargenteus,27,1,Yes,Drinking
